Abn,MemberNo
11541479253,W835
11541994569,9265
11543091402,F664
11543371159,5937
11545810502,011Y
11550101250,L266
11554328251,756C
11557224406,7197
11557868728,025Z
11558748987,8453
11561479799,351Z
11562682698,089P
11564837957,485J
11565492038,236M
11578561043,412M
11579826338,T954
11580575485,406H
11580865962,050E
11583183685,74H7
11583183685,T372
11583183685,T375
11584690458,X139
11586797614,210C
11588082512,J230
11592577428,R125
11595321552,207E
11595925817,589G
11595925817,772G
11596244801,5114
11597581268,I394
11598822507,407B
116 529 830,B002
11601576657,958F
11601694011,X765
11602086379,81G7
11603141086,960P
11603415331,337Q
11604600361,592K
11605016959,161F
11605372415,918K
11606370141,G880
11606736368,U555
11607007065,8514
11609326392,098R
11609788114,113V
11609788114,134T
11610762560,76C1
11611814976,10K3
11616331634,91J1
11616700734,I473
11617799127,348W
11619760305,016Y
11620025487,904M
11620025489,178H
11623241247,503H
11626760762,727M
11627579747,984H
11628978498,381J
11641181494,3111
11641860479,207C
11642537477,E558
11643436626,231H
11644852161,91H3
11645789773,L033
11645911899,38D6
11647860689,P580
11648786287,559D
11649283697,U792
11653032879,0611
11655014156,Y847
11656248358,M170
11657502741,S797
11662646467,M749
11665132719,E517
11665235762,924Z
11670192384,H046
11670615285,1175
11670932735,900M
11675277618,060K
11677470418,80G2
11679086703,338U
11680081593,B321
11680869016,598H
11681009934,H677
11682075775,E927
11682351019,0622
11684357475,U964
11686520985,6447
11687129425,M619
11688261319,M489
11688466870,970E
11688595223,310D
11693624879,79G2
11694249325,979M
11694473895,F207
11695397057,3895
11697280842,4530
11699650751,8764
11706186354,15C9
11708012910,341K
11708209847,628C
11710311538,518D
11712008774,i671
11714758546,7370
11715056103,47K6
11718429628,D784
11719102247,P152
11719859494,S779
11724655693,17H5
11727566763,475N
11729247178,802P
11729247178,803P
11729247178,J019
11729247178,J018
11729247178,H997
11729247178,0889
11731990503,G019
11733693155,608F
11735787129,X506
11736716269,873I
11740839704,53H5
11741392518,11E2
11747214118,G885
11755712325,677T
11756562738,5517
11759019922,609R
11760229522,R006
11763215457,Z261
11770465503,92G5
11770797900,014Y
11774936546,494Q
11776370365,I145
11778219109,5220
11779439865,E902
11780542551,357K
11780633497,830E
11783055171,K287
11784637948,H952
11790790147,V820
11794673217,034V
11797450383,082G
11807783542,372T
11809008758,I631
11809848761,43J8
11812391740,J534
11813082399,4711
11814065880,842A
11814065880,994E
118141065880,A209
11816332584,P167
11820942488,W456
11822697893,W051
11825634554,818W
11826605712,478R
11832281290,D131
11833589526,V708
11837490729,7347
11838346511,2991
11843472180,799X
11845576117,709S
11846 214 921,9705
11846214921,L434
11846987547,311O
11847061501,932C
11847143262,6077
11848837139,V339
11848845077,94D4
11851106101,475K
11860253 506,B840
11860253506,783M
11860634703,5743
11861987327,X777
11863947284,03K7
11864158926,907F
11865414108,X567
11867494901,P414
11868770926,W481
11872873808,L617
11872924179,55H6
11873380631,9008
11875108960,882R
11875657983,J745
11875867174,R306
11877988910,7549
11879580538,K399
11891446417,138T
11892758801,94C7
11895960277,Q019
11898530974,968J
11899742713,5965
11903710206,I815
11905900214,56H5
11906509490,231V
11912787762,H038
11913877455,331W
11914969783,52D9
11922442633,9719
11924858992,E942
11925524370,95B3
11927617647,621R
11928456208,K194
11936744015,47F0
11936744015,97H7
11938677814,51J4
11941271358,N171
11942012659,D877
11943527138,24H5
11944263234,631S
11951290713,6555
11953428977,78B8
11953435058,N169
11954432249,X194
11956904602,5789
11957936504,L541
11958990843,G354
11958990843,T242
11960837367,233L
11969773612,88G5
11970343808,8373
11974323673,4766
11975088324,G558
11975312926,290I
11977297043,631V
11983085891,0347
11983587729,846H
11987925825,Q820
11988930873,S153
11990566290,I225
12 006 525 104,0067
12 099 643 633,2671
12 353 783 601,0924
12 614 784 619,0A96
12 725 722 560,A567
12000272319,I200
12000338750,4217
12000473647,5455
12000523419,7942
12000573213,R675
12000573213,R676
12000846695,3801
12000846695,9979
12003531397,87E7
12003761448,476Z
12003763004,425V
12004418650,D507
12005700961,709U
12005772527,J292
12006188656,399X
12007355785,4691
12008417776,N582
12009475647,2722
12009517206,666L
12009688251,322M
12009907313,1033
12010251519,N567
12010637862,797H
12010880489,906N
12011239276,57E2
12011239276,785B
12016590077,W538
12016709147,F529
12018320194,G886
12021621144,78J8
12024309285,W778
12027204436,972L
12030175019,702K
12032126002,7012
12038404123,728R
12041050452,311D
12043734117,8105
12044691418,B922
12045805622,C154
12047225217,713V
12052277106,36E0
12055926728,2515
12055926728,J023
12058218369,0709
12059875969,21E2
12060277201,D058
12061689360,Q519
12061811341,073I
12063768225,36K1
12066826024,373C
12067501553,378I
12070466784,162R
12070652890,Z925
12073251359,06E3
12074515343,X366
12075133972,731S
12081275392,534G
12082182899,Q514
12083819046,9156
12084806404,W211
12084806404,739B
12084806404,826B
12088496251,3094
12089457947,K511
12092424281,V703
12095150268,7990
12095873876,B410
12096202300,2056
12097371815,L983
12098179833,T376
12099341686,65H6
12100266455,L328
12101794576,0827
12102637112,32B4
12104861609,B917
12105146588,27K0
12111966119,I915
12112613946,X244
12113205414,E283
12114738760,647E
12115148852,929P
12118618287,G746
12122617970,8924
12124175686,65J7
12124355361,614V
12124574897,I979
12124929127,40K4
12125532647,985M
12125916404,73C9
12127600626,883J
12128820416,S007
12128856984,M317
12131674067,318N
12132145638,F467
12132253304,428Q
12133037303,605K
12137064018,265Z
12138078921,X075
12139979041,613W
12141996518,F606
12143850533,R976
12143850533,J553
12145812240,8636
12149797326,758E
12151656341,494U
12154430175,5250
12155387195,022B
12156877973,W413
12157397513,47F6
12158349009,U215
12160964904,56B2
12161893245,6404
12164229323,0A34
12166488288,097V
12167185105,T662
12169349419,N918
12171279930,310P
12174001994,654V
12176321101,836Q
12179057610,21E0
12179272567,709D
12179621677,4148
12180899128,4722
12182021966,826K
12183570708,H059
12183879566,73J9
12184593231,411R
12188922481,X099
12189269517,035F
12189390580,733K
12195487838,66B3
12195966932,41B0
12195966932,116U
12196648180,1867
12197977028,9352
12198982076,6777
12199714499,I801
12200367596,468P
12203607127,941D
12210015177,132M
12212892535,589H
12216980260,Y687
12217679900,750G
12224221465,481I
12227183414,A943
12229646953,3986
12233836991,115C
12234038627,76J0
12234038627,7948
12234873354,847B
12241150320,6119
12241877456,3516
12242335506,W187
12244390276,Y685
12245489743,378K
12245736296,28F5
12245852175,7258
12250038028,Y714
12251706812,048I
12251918977,978H
12252828688,669V
12253632344,D004
12253632344,1218
12256587003,P975
12257106240,006X
12258578544,956S
12260157077,354Y
12261628694,61C2
12262872138,201S
12263785181,990L
12265870413,422U
12269535128,028G
12272437978,3817
12273410762,432U
12276440286,W024
12278759624,U746
12278904878,X724
12279244355,5251
12281136461,L041
12285181045,469T
12290343245,4439
12295966486,321T
12296720073,20H2
12298205564,978D
12303052820,L662
12304766169,X312
12304833853,L146
12305265216,45B7
12306135593,925L
12308459262,432X
12310827324,U262
12313368904,545X
12325855097,U969
12326989475,907B
12327462753,V345
12327883186,Z626
12331084808,645Q
12334770492,D078
12334931844,676L
12336262113,I989
12337320928,T992
12339841346,L160
12340719607,E738
12341185730,68D9
12342479569,S108
12343308934,6091
12345678901,121V
12345678910,1A48
12349882970,024F
12355020082,J880
12355760924,38C6
12355760924,38C7
12366985430,T226
12368979703,T745
12371851207,W931
12379599483,434S
12383776081,Z213
12389422834,W177
12389678524,191U
12389978898,27J5
12394908316,0550
12401737107,A786
12401995826,G089
12406427568,V918
12409514862,272Z
12411814155,3430
12414054291,Z458
12414969477,Z140
12416484539,L717
12423593472,074K
12431373560,M455
12435102497,69C9
12437001267,616M
12439583849,8115
12440093118,8878
12441090309,M945
12441771816,347Q
12442523566,M837
12445216168,236Z
12448304628,7473
12448391034,H236
12453969093,W742
12454728150,56K0
12456292558,K981
12462634063,991F
12463979683,593Q
12473227211,D805
12478299187,S084
12479821842,55G0
12481480911,87J0
12482003695,5612
12485172194,Q249
12485527827,71K4
12487212520,G309
12487878113,378X
12497709153,Z701
12502277946,K207
12507097150,3359
12507097150,685K
12508380320,D554
12510127408,I136
12511219655,9185
12515102876,04J7
12515622033,P573
12516985360,48H2
12518430864,D109
12518430864,D110
12518610846,N838
12519036744,269L
12519718014,791D
12520835112,54E8
12522145227,6643
12523451638,880L
12528127487,N998
12529311562,V062
12529328453,L571
12534506885,825P
12539805490,R764
12539805490,R763
12540059522,333E
12540427262,G221
12541457657,403V
12541509017,672G
12543126150,83E0
12546176291,T320
12546539862,5806
12546539862,Q715
12551513020,300G
12553263505,406W
12561242237,T531
12562719358,167S
12568306058,385E
12568961078,256G
12569980361,488R
12576423149,983S
12577630497,w474
12577962894,422C
12580897869,94H3
12583194760,207U
12583194760,J537
12588467833,U620
12593415054,2080
12595756861,E462
12596572132,I776
12597879266,N369
12598688618,N411
12598730328,E829
12599114176,K447
12600570269,499Y
12603265523,0A39
12603265523,0A29
12603458945,97E5
12603610248,D441
12604036065,W921
12604677682,6020
12605807120,U080
12606128063,C739
12606602156,045M
12609021496,291L
12609829568,200O
12612495499,6325
12612502204,K096
12612871162,J056
12614036822,60E2
12616769292,S878
12616769292,S905
12618478667,J262
12620529328,818L
12620779979,021U
12621148703,E473
12621369714,581X
12622700695,L720
12622963611,L573
12624762928,448L
12631056704,Z108
12637402417,810C
12639209278,183I
12639761882,710V
12643166085,807G
12643482612,903A
12648022197,957C
12656081627,495D
12658679588,086N
12659182075,I539
12659477973,807P
12660630689,304T
12661684764,4804
12663177097,182W
12664529678,903U
12664847857,Y473
12670841091,765C
12670841091,9905
12673933179,8757
12675289729,960M
12675501507,244I
12678661209,E138
12679138736,G659
12680995418,167K
12684649215,I416
12686021657,698D
12687741147,425L
12687741147,618M
12689719048,1565
12694580706,S552
12694596657,455Z
12695712681,P148
12696387599,U500
12699143161,T428
12701236178,528W
12702044170,1770
12702247410,N142
12702896063,943V
12703131708,P494
12705638804,P168
12706199405,221R
12709665519,D701
12716456354,561Y
12718194047,164I
12719701619,X236
12719965166,Q425
12721539255,T087
12723764093,318R
12723931731,481E
12724514272,T928
12727410346,442M
12731461787,456M
12732348106,61E3
12733696324,X278
12736149268,393V
12738251154,93J6
12738251154,94J1
12738251154,D740
12738251154,D748
12738321575,7129
12740204884,63J6
12742547458,987J
12744289536,R879
12745635837,576X
12745899320,74J7
12750704358,3385
12754769246,K790
12756098893,K263
12757363002,Y515
12763993008,8887
12766590273,015U
12768124645,955A
12770193423,9180
12770756254,124S
12778516065,663X
12778582091,10D7
1278 7656229,9798
12780540250,2710
12784078966,152Q
12786130945,L945
12791370592,543U
12793030919,52G6
12794086452,6113
12794161302,980E
12794330430,300Y
12794330430,318Y
12798846228,599V
12800868641,351Q
12804270954,634T
12804501130,2091
12805056735,G547
12810467503,2907
12816309720,240L
12822518148,13G4
12824470583,S642
12829433400,Z297
12829963744,876J
12834297401,013P
12835430774,59D8
12836877936,298F
12840856845,966C
12841954250,63G8
12841954250,S463
12844535801,G783
12845347291,18D5
12845999373,2827
12846944087,33D7
12848912080,95J4
12849459747,136W
12849895182,40G7
12853581201,527G
12855824765,9106
12856162622,397S
12862192910,N269
12862372956,J998
12865271185,K417
12865271185,874G
12865982063,644Z
12866503438,91G7
12868038836,G047
12870205052,587I
12872174685,834C
12873113562,T456
12875031237,01E3
12876335828,M956
12881395493,G645
12881395493,G644
12885268875,P052
12889262322,27B2
12889262322,P381
12895414455,2896
12904742717,9953
12905703912,4389
12906976072,020R
12911463050,568C
12911735771,8080
12912678492,6865
12914308126,T716
12914631926,643Y
12914895473,N108
12918163910,R715
12919383764,414I
12919784789,Y116
12926392197,384C
12928379057,I127
12928899374,225K
12931435911,660L
12933651952,G764
12938139930,E869
12941326691,796F
12942543970,828X
12942543970,58B1
12942840786,4068
12945183436,507V
12948167389,494B
12949629288,K478
12953556903,X371
12956207455,R287
12957754172,417X
12964749445,10D6
12967604021,G598
12970437260,1829
12972961873,U306
12973581156,I953
12974075823,G411
12974868381,P907
12975105533,T846
12978851605,635Y
12981563463,172W
12985971505,62H8
12992663584,99J7
12992703636,671T
12996384492,484V
12996384492,249J
13 503 100 544,0921
13000454142,6823
13000847067,937F
13000847067,U443
13001541469,R641
13003254760,838G
13003476775,735E
13004338103,B762
13004338103,C017
13004338103,C018
13004370567,2061
13006502487,35H3
13006709048,X048
13007416551,5392
13007450571,00K9
13007450571,96J2
13007450571,21G8
13007703291,A497
13007722358,Y912
13007873850,004E
13008162561,Q063
13008678180,8106
13008716612,A116
13008902912,394B
13009054678,0564
13009315191,J584
13009587437,2517
13009658717,90J1
13009784267,0098
13010854920,J294
13010961953,C149
13011047322,5532
13011261469,Y478
13011670336,836G
13011670336,I272
13017629187,29F9
13017972719,W853
13018450981,3839
13025302668,R624
13029 619 4,335M
13029773750,X319
13030717902,25C2
13032035923,008S
13032878857,8633
13037924364,R401
13041933998,056N
13044779923,V869
13045645964,H095
13045880184,082P
13046521887,V919
13047912280,I740
13048402481,62F2
13049048742,9190
13049551266,470V
13050260162,579I
13050462381,K949
13051531775,49H2
13052449241,92B9
13052449241,93B3
13057570202,E091
13065295187,82C3
13065498233,Q168
13065571397,H399
13066328698,Z354
13067265043,100N
13070312004,D059
13071400881,H522
13072358986,125E
13075095426,G981
13075095426,G980
13075320531,4048
13078638663,1513
13079604270,G718
13081002173,525D
13082148409,51H7
13085814540,U702
13085944750,U132
13086038170,625C
13090731990,062E
13093185188,766L
13094147404,3914
13095093851,B979
13095918523,294H
13096157818,72K8
13098522176,K870
13099916613,83F9
13100284660,6983
13100396229,U591
13101636113,981Z
13101670408,932B
13105950632,513Q
13106103975,U958
13106823109,F574
13107145727,852D
13107798765,L368
13109023761,876G
13109660059,I701
13109940703,D067
13109940703,D065
13109940703,D066
13111203822,L158
13112608740,7319
13113960786,863E
13114744866,P124
13114753744,U612
13114993515,679I
13115123180,G330
13115719296,F307
13116266856,C293
13116375639,600E
13118841663,329X
13121166023,P985
13122374618,R016
13123857863,H227
13127562820,P836
13129393015,062S
13136362357,56F2
13139463982,295P
13142076022,952F
13142076022,X708
13143610162,2360
13143908684,49F2
13143908684,354M
13143942640,6878
13144044386,U112
13147899009,629D
13147899009,628D
13149957991,339N
13149957991,8266
13150374952,280G
13151420781,817A
13152419473,N710
13153575160,815V
13153883764,5146
13154744297,Y977
13154838673,456N
13156651216,Z306
13156673421,I832
13158895904,W852
13158918735,P511
13159898751,970A
13159920144,965A
13162034503,E014
13163326302,Q395
13164286146,337L
13168405045,084E
13168870282,502K
13168870282,503K
13169703388,072N
13169712298,0832
13171203573,929Z
13171581929,090J
13174769382,59H9
13179487918,865E
13181483094,L064
13181928443,8794
13183731249,12G9
13185146319,G025
13187413925,11G4
13189345494,4194
13190282691,303R
13191364527,377K
13193440476,485V
13198362706,J607
13198487165,4848
13199040827,884I
13200255751,C335
13200570355,647J
13204481208,308Q
13206037817,344P
13209926886,140I
13210182495,9060
13212838200,11J5
13214011466,8421
13215304752,046N
13217857500,Q502
13218120410,590V
13226047663,1092
13232054345,G782
13237705130,H539
13239372590,376R
13239445765,555S
13240403207,8437
13241406435,39G4
13241901923,M168
13245409914,6160
13245420612,15E2
13246445288,219W
13254227045,R581
13259758096,2363
13264590595,75K6
13264590595,9243
13267200248,I188
13270439594,Q589
13270973606,W982
13279126143,E705
13280804290,603U
13283287339,C116
13287887475,P952
13288454114,M091
13289980483,E711
13292455292,508Z
13293857974,521X
13294087890,P987
13299361509,990F
13301739701,68G2
13303157320,794L
13308153524,644T
13312672708,501L
13314301980,27D8
13317560858,S054
13317861833,1934
13322427009,543P
13323516745,Q176
13323548945,545B
13328609836,30D0
13339543152,R516
13340705836,Z604
13340945607,H026
13342725663,K967
13350738296,E515
13352168788,294V
13354823979,80D9
13354823979,365H
13359038200,05K0
13359116140,E702
13360135841,27E2
13360298208,X112
13362518062,768L
13365655845,668E
13366557618,1449
13366717787,16G6
13368776106,610Y
13370705655,180G
13371557494,Y994
13373383364,W848
13376406446,074M
13377339091,290O
13378212908,9613
13380673300,Z770
13380848998,Q551
13383105832,283S
13383357137,W036
13383630642,N225
13384178731,8459
13387548455,739V
13388171351,Q362
13388379804,79K0
13392156734,037Q
13392158403,329S
13392505844,H150
13393511913,E492
13393733540,R354
13396350989,S667
13397153586,1689
13399372074,376B
13401949704,76C5
13402025617,P903
13402932579,Q700
13403710315,788M
13406625834,X384
13407560380,576T
13408008461,R760
13408404097,759K
13410871131,W891
13411088761,L666
13411824597,248R
13413410600,307D
13413949492,241W
13418221152,767K
13419337887,4359
13422731458,945H
13424034089,4391
13424470863,5519
13425520094,64J1
13426914919,I131
13427104373,419X
13434283365,U870
13435477154,680M
13435872931,480Q
13440842745,3521
13442273772,02C1
13445546264,I082
13450644393,D895
13453244574,M192
13455880302,72D2
13457070912,60D4
13457070912,489H
13457512330,14E0
13458784116,70B4
13460116846,X385
13463775212,X293
13467193606,727H
13467943434,389J
13468519830,Y504
13472633442,499X
13474382987,919V
13474405560,375U
13479475997,H574
13479475997,0951
13479763500,K321
13481705523,Z062
13487341497,552C
13489078003,313N
13489283046,955P
13490727751,K535
13491195850,926T
13492806616,80G6
13495667978,08F5
13498394455,31D4
13499886885,G154
13500854031,315M
13507359713,6797
13510237335,62B9
13515017561,28E1
13517144826,191L
13517501793,398Q
13520219046,Z118
13527826674,69D1
13528899654,J638
13529865180,0575
13530019042,43K0
13531843216,326N
13533004329,Z294
13537618813,754M
13540416245,Z395
13540954689,600T
13542008381,2076
13543151129,P956
13543471975,J838
13547935696,2059
13558735524,Y223
13559227345,500G
13562124580,40C9
13562124580,U307
13562431408,112Z
13566925191,Q786
13568180356,745Z
13568534936,888F
13571676186,79E2
13581718728,G046
13583757234,189J
13588043419,P253
13594304905,I186
13597030774,1300
13599547865,I509
13601393077,Q221
13601993471,802Q
13604579347,Q106
13604928457,547Y
13605584395,604X
13607033269,717Q
13607033269,935Q
13608492986,65C5
13609391973,B326
13610396831,H170
13610518488,692I
13610582943,128Q
13610700113,16C9
13610749187,581U
13611023821,268S
13613177567,89B2
13614263713,J590
13620093353,M924
13621179589,4257
13621512748,743F
13621995703,32G2
13622178336,014X
13628270438,612Z
13630113334,53G3
13632750872,954V
13632750872,495R
13639974517,4572
13640372475,72F0
13640372475,D570
13640812435,580F
13641618897,189L
13642490361,210T
13642563374,Y104
13650438874,196D
13652583814,D246
13653484502,715C
13653786496,045Y
13654650821,T799
13661290849,5665
13662615216,634K
13665764145,677Y
13665764145,26H3
13670228762,D175
13670732307,N112
13670862517,Z192
13674886359,W513
13680282542,D778
13681531033,G353
13683269816,84E4
13684300455,G585
13685238651,22C7
13688908815,21H7
13690510725,L705
13695481986,W171
13697088184,832B
13698583617,01B4
13698771262,16H8
13701959199,S441
13702041366,1136
13706409955,K306
13714622178,99D4
13721645008,259M
13723784498,74K6
13723784498,S610
13730094410,818N
13730129920,1316
13731366946,008T
13732370137,428F
13733485949,53J8
13735375340,684M
13736978416,D112
13737800480,08G3
13738722491,0206
13740867285,528V
13747872673,L908
13747956233,W826
13748823197,767C
13749886231,V933
13749931823,N020
13750994564,K355
13756581232,647G
13757685175,969G
13760875916,V880
13761306976,390V
13761811024,6870
13762608689,V946
13763724319,989K
13764912924,D891
13766174661,89J1
13770280335,9101
13771956117,400U
13776975417,H361
13779522743,X367
13785665248,E519
13788518036,929Q
13794002238,Z384
13800103731,202L
13801668498,9969
13801668498,1015
13802754919,J136
13803348007,J928
13814241260,J245
13814498035,Z221
13817984847,P884
13823485390,R342
13824916336,567W
13828004823,8260
13828393498,485F
13830194820,2579
13830278363,G844
13832495312,R096
13837521718,86E1
13839900456,783F
13845246332,K801
13845246332,K802
13847356425,96H2
13847539690,F847
13851658772,Q939
13852297830,R293
13855225758,372C
13856486496,C110
13859835857,468D
13865297789,26H8
13865359884,94F7
13865852818,Z921
13870827859,292V
13873079546,694L
13878729237,G842
13878768759,S327
13880388112,49C6
13880579978,5313
13880867400,4363
13881742270,U881
13883278802,Q862
13884162582,S931
13885543530,U105
13887500155,M566
13891282450,F434
13893145806,590S
13894606733,8626
13895094709,T819
13896513635,U590
13896778041,30H3
13898803516,E745
13899359511,411S
13899359511,649D
13900383415,R033
13901570097,Z260
13901985406,99B7
13902517970,8598
13902663527,30K2
13902756029,154E
13906390866,589K
13907638650,080E
13908507300,T378
13908573827,856U
13911212262,158L
13915358489,Y483
13916455408,124W
13917325753,F064
13920286292,191K
13923720417,860Z
13923720417,3756
13926914544,904G
13927900962,969Q
13928660094,N712
13928813508,T206
13930470859,B639
13931522823,H464
13931880012,E362
13935116177,350S
13937673380,372N
13939230033,28B0
13939230033,28B1
13940896099,Q148
13941307817,J122
13947380215,28D3
13947889899,988B
13949117616,03H3
13951232472,275S
13957237088,531G
13958502519,55F5
13959010508,1901
13959921855,T073
13963495677,V686
13964076748,M811
13964076748,M812
13965524409,658V
13966269252,647C
13966269252,648C
13970317686,P851
13975421281,405J
13976760800,259E
13978930110,T792
13985745320,187Z
13985915290,R021
13986786051,004S
13986904737,520V
13991740108,850W
13997162129,T735
13998438581,897A
13998438581,V193
13998984715,196L
14 011 062 338,1719
14 104 835 261,1718
14 116 962 219,F948
14 205 594 606,9922
14 579 238 740,2799
14 662 282 898,2707
14000046711,21D0
14000074251,G706
14000146341,551I
14000440808,386U
14000488620,6827
14002445196,K377
14002887041,B666
14003616953,027I
14003998436,844X
14004069694,067M
14004585611,W533
14005920318,109L
14006317817,I253
14007699774,116X
14007788874,317S
14008418595,7878
14008418595,3221
14008471181,R129
14008702841,Q587
14008713371,8682
14009486186,4143
14009551348,231Q
14010198964,U721
14010233271,Y353
14010798181,86H9
14011035608,P428
14011062338,C794
14011062338,C705
14011062338,C735
14011062338,C737
14011062338,C423
14011062338,N798
14011062338,F676
14011062338,C390
14011062338,F285
14011062338,F286
14011062338,K508
14011062338,C404
14011062338,0075
14011062338,B243
14011062338,0235
14011062338,0384
14011062338,0688
14011062338,G561
14011062338,G562
14011062338,B607
14011062338,B820
14011062338,C507
14011062338,C495
14011062338,C496
14011062338,C497
14011062338,300C
14011062338,C675
14011062338,C379
14011062338,C678
14013927503,7051
14014370805,P412
14018923270,830F
14019953746,872Z
14020067394,436G
14022322726,768J
14026819619,Z021
14027646160,7547
14027646160,7548
14028194643,G231
14033756832,447I
14035753919,1984
14038617124,865C
14040383064,H048
14042990184,185J
14043501564,D987
14048157223,R592
14051895934,K074
14052305260,4158
14052764503,92D6
14056462234,0732
14057245342,158C
14058704811,H119
14059169329,704P
14060785042,694D
14061318885,P886
14062415593,04B4
14063186481,X495
14063450336,N018
14064012546,298J
14065353442,I433
14065353442,K962
14066788940,0126
14067026691,D951
14067360087,85G5
14068272757,913B
14068705071,262B
14072002019,009G
14073933879,505F
14074027299,L734
14074515352,2981
14075975026,967V
14076588228,P939
14080236808,284Z
14080236808,411Z
14081265811,K849
14081389460,F746
14082221681,T600
14082612922,924M
14083777351,K152
14089368630,L174
14094306082,B606
14094791100,506L
14095305249,075R
14095907538,X243
14096086840,070B
14097234130,L669
14097605946,U618
14099683893,1547
14101116081,0A95
14101116518,Z209
14101576198,Q504
14103432511,K222
14103733439,858N
14106485954,43C1
14112323252,B382
